election_id,cancellation_reason
local.gwynedd.rachub.2022-05-05,EQUAL_CANDIDATES
local.gwynedd.llanuwchllyn.2017-05-04,EQUAL_CANDIDATES
local.wrexham.marchwiel.2017-05-04,EQUAL_CANDIDATES
local.gwynedd.arllechwedd.2017-05-04,EQUAL_CANDIDATES
local.flintshire.mold-east.2017-05-04,EQUAL_CANDIDATES
local.sevenoaks.dunton-green-and-riverhead.2019-05-02,EQUAL_CANDIDATES
local.fenland.wenneye.2019-05-02,EQUAL_CANDIDATES
local.blaby.braunstone-ravenhurst.2023-05-04,EQUAL_CANDIDATES
local.moray.buckie.2022-05-05,EQUAL_CANDIDATES
local.south-kesteven.dole-wood.2019-05-02,EQUAL_CANDIDATES
local.east-lindsey.wainfleet.2023-05-04,EQUAL_CANDIDATES
local.malvern-hills.teme-valley.2019-05-02,EQUAL_CANDIDATES
local.gwynedd.llanystumdwy.2017-05-04,EQUAL_CANDIDATES
local.wealden.polegate-central.2019-05-02,EQUAL_CANDIDATES
local.city-of-london-alder.queenhithe.2022-12-08,EQUAL_CANDIDATES
local.tandridge.felbridge.by.2021-05-06,
local.east-lindsey.croft.2023-05-04,EQUAL_CANDIDATES
local.newark-and-sherwood.sutton-on-trent.2019-05-02,EQUAL_CANDIDATES
local.ryedale.rillington.2019-05-02,EQUAL_CANDIDATES
local.carmarthenshire.trelech.2017-05-04,EQUAL_CANDIDATES
local.ceredigion.llangeitho.2022-05-05,EQUAL_CANDIDATES
local.pembrokeshire.newport.2017-05-04,EQUAL_CANDIDATES
local.west-suffolk.chedburgh-chevington.2023-05-04,EQUAL_CANDIDATES
local.powys.llandinam-with-dolfor.2022-05-05,EQUAL_CANDIDATES
local.renfrewshire.paisley-southeast.by.2021-12-14,
local.staffordshire-moorlands.ipstones.2023-05-04,EQUAL_CANDIDATES
local.ashford.upper-weald.2019-05-02,EQUAL_CANDIDATES
local.isles-of-scilly.tresco.2021-05-06,EQUAL_CANDIDATES
local.gwynedd.gerlan.2022-05-05,EQUAL_CANDIDATES
local.south-staffordshire.trysull-and-seisdon.2019-05-02,EQUAL_CANDIDATES
local.flintshire.caerwys.2022-05-05,EQUAL_CANDIDATES
local.melton.wymondham.2019-05-02,EQUAL_CANDIDATES
local.west-suffolk.barrow.2019-05-02,EQUAL_CANDIDATES
local.rutland.ryhall-casterton.2019-05-02,EQUAL_CANDIDATES
local.north-devon.chittlehampton.2019-05-02,CANDIDATE_DEATH
local.isles-of-scilly.st-agnes.2021-05-06,EQUAL_CANDIDATES
local.ceredigion.beulah.2017-05-04,EQUAL_CANDIDATES
local.conwy.llysfaen.2017-05-04,EQUAL_CANDIDATES
local.carmarthenshire.laugharne-township.2022-05-05,EQUAL_CANDIDATES
local.gwynedd.bala.2017-05-04,EQUAL_CANDIDATES
local.test-valley.bourne-valley.2019-05-02,EQUAL_CANDIDATES
local.west-suffolk.manor.2019-05-02,EQUAL_CANDIDATES
local.test-valley.bellinger.2019-05-02,EQUAL_CANDIDATES
local.city-of-london.cordwainer.2022-03-24,EQUAL_CANDIDATES
local.gwynedd.dolbenmaen.2022-05-05,EQUAL_CANDIDATES
local.city-of-london.vintry.by.2019-08-07,EQUAL_CANDIDATES
local.flintshire.treuddyn.2017-05-04,EQUAL_CANDIDATES
local.city-of-london.bridge.2022-03-24,EQUAL_CANDIDATES
local.neath-port-talbot.gwaun-cae-gurwen-and-lower-brynamman.2022-05-05,EQUAL_CANDIDATES
local.west-suffolk.exning.2019-05-02,EQUAL_CANDIDATES
local.wrexham.holt.2022-05-05,EQUAL_CANDIDATES
local.pembrokeshire.clydau.2017-05-04,EQUAL_CANDIDATES
local.tonbridge-and-malling.downs-and-mereworth.2019-05-02,EQUAL_CANDIDATES
local.southwark.london-bridge-west-bermondsey.2018-05-03,UNDER_CONTESTED
local.east-devon.clyst-valley.2019-05-02,EQUAL_CANDIDATES
local.pembrokeshire.manorbier.2017-05-04,EQUAL_CANDIDATES
local.powys.old-radnor.2017-05-04,EQUAL_CANDIDATES
local.east-devon.exmouth-withycombe-raleigh.2019-05-02,EQUAL_CANDIDATES
local.lichfield.whittington-streethay.2019-05-02,EQUAL_CANDIDATES
local.city-of-london.farringdon-within.by.2019-12-19,EQUAL_CANDIDATES
